,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
37526,87526,5,9,319,0,319,0
37527,87527,3,7,609,0,609,0
37528,87528,4,3,3,0,3,0
37529,87529,1,30,555,1,555,1
37530,87530,1,131,384,14,382,12
37531,87531,5,54,121,30,100,27
37532,87532,1,6,609,0,609,0
37533,87533,3,113,425,62,429,43
37534,87534,5,5,476,3,476,3
37535,87535,1,133,412,6,415,5
37536,87536,3,143,411,93,404,68
37537,87537,4,173,378,147,392,109
37538,87538,3,17,596,0,596,0
37539,87539,3,65,483,29,480,27
37540,87540,5,166,92,140,82,117
37541,87541,3,6,6,0,6,0
37542,87542,2,150,368,84,360,57
37543,87543,2,18,148,0,148,0
37544,87544,5,4,4,0,4,0
37545,87545,2,44,371,10,363,7
37546,87546,4,6,6,0,6,0
37547,87547,1,118,392,11,392,10
37548,87548,4,84,474,62,462,47
37549,87549,5,17,17,8,15,6
37550,87550,5,56,87,48,82,38
37551,87551,5,135,82,101,73,82
37552,87552,2,123,412,34,409,22
37553,87553,4,110,411,86,415,64
37554,87554,3,107,395,73,409,53
37555,87555,4,25,466,13,470,11
37556,87556,4,95,475,65,464,51
37557,87557,4,139,407,109,401,89
37558,87558,4,6,6,0,6,0
37559,87559,5,58,39,35,38,28
37560,87560,4,25,25,0,25,0
37561,87561,1,69,474,1,474,1
37562,87562,5,127,60,87,70,73
37563,87563,4,170,367,160,375,119
37564,87564,5,174,80,150,89,120
37565,87565,3,141,385,97,389,69
37566,87566,4,5,505,2,525,2
37567,87567,1,32,561,0,561,0
37568,87568,2,8,136,0,136,0
37569,87569,3,123,401,87,409,53
37570,87570,2,157,365,66,354,55
37571,87571,1,120,393,9,389,9
37572,87572,5,12,406,6,406,6
37573,87573,3,44,489,15,515,15
37574,87574,3,3,617,0,617,0
37575,87575,5,121,61,94,73,73
37576,87576,5,28,309,21,303,16
37577,87577,1,4,4,0,4,0
37578,87578,4,90,444,79,446,57
37579,87579,3,98,450,50,431,39
37580,87580,2,4,4,0,4,0
37581,87581,2,6,6,0,6,0
37582,87582,2,145,395,57,387,41
37583,87583,3,14,542,8,550,7
37584,87584,4,118,435,92,430,72
37585,87585,5,146,62,120,72,98
37586,87586,4,30,472,15,495,11
37587,87587,3,16,541,3,541,3
37588,87588,2,45,499,2,499,2
37589,87589,3,12,604,4,604,4
37590,87590,5,143,91,110,74,84
37591,87591,1,10,10,0,10,0
37592,87592,5,62,40,48,48,41
37593,87593,3,4,4,0,4,0
37594,87594,1,69,481,2,481,2
37595,87595,4,111,413,82,424,72
37596,87596,5,134,61,96,67,81
37597,87597,2,142,378,52,377,26
37598,87598,5,77,80,55,67,44
37599,87599,5,97,40,77,53,62
37600,87600,2,49,331,9,332,7
37601,87601,1,185,350,25,344,18
37602,87602,3,134,406,98,413,63
37603,87603,4,90,482,63,462,53
37604,87604,2,130,383,51,376,29
37605,87605,3,156,380,118,371,76
37606,87606,4,53,529,39,521,34
37607,87607,3,28,561,13,561,13
37608,87608,2,79,474,20,474,14
37609,87609,5,134,73,105,75,90
37610,87610,5,131,84,105,65,86
37611,87611,4,19,19,0,19,0
37612,87612,2,22,336,0,336,0
37613,87613,1,9,603,0,603,0
37614,87614,3,52,472,29,496,20
37615,87615,1,141,378,14,378,12
37616,87616,2,36,365,4,362,4
37617,87617,3,65,521,28,504,14
37618,87618,2,30,255,3,255,3
37619,87619,4,124,428,91,420,71
37620,87620,1,197,335,28,332,27
37621,87621,4,53,453,41,488,32
37622,87622,4,12,606,4,585,2
37623,87623,2,169,346,83,346,50
37624,87624,2,148,382,43,376,25
37625,87625,1,142,374,14,374,12
37626,87626,5,30,186,21,190,20
37627,87627,4,154,413,133,405,105
37628,87628,5,102,59,71,63,67
37629,87629,3,56,473,26,495,16
37630,87630,2,150,369,51,366,29
37631,87631,5,114,60,89,68,70
37632,87632,4,133,430,119,419,96
37633,87633,3,157,393,111,375,84
37634,87634,2,70,487,19,485,15
37635,87635,5,101,43,74,55,54
37636,87636,3,150,389,107,401,79
37637,87637,4,6,6,0,6,0
37638,87638,3,93,436,56,444,36
37639,87639,2,41,372,2,375,1
37640,87640,5,78,49,58,49,47
37641,87641,3,59,523,28,504,17
37642,87642,2,168,350,87,351,61
37643,87643,4,37,570,22,533,14
37644,87644,5,144,65,118,72,92
37645,87645,4,12,494,7,540,4
37646,87646,5,4,4,0,4,0
37647,87647,3,16,587,0,587,0
37648,87648,1,170,347,26,341,23
37649,87649,1,183,337,25,336,23
37650,87650,5,129,58,101,70,85
37651,87651,5,97,58,74,62,58
37652,87652,2,161,362,58,361,48
37653,87653,2,137,374,61,375,43
37654,87654,1,55,506,0,506,0
37655,87655,2,144,384,57,372,34
37656,87656,1,116,394,10,392,7
37657,87657,1,74,479,0,479,0
37658,87658,5,10,413,2,413,2
37659,87659,4,150,393,122,403,90
37660,87660,1,52,517,1,510,0
37661,87661,5,148,61,119,67,99
37662,87662,2,145,371,53,368,36
37663,87663,5,79,43,51,49,33
37664,87664,4,47,533,36,500,26
37665,87665,3,26,505,12,548,10
37666,87666,2,4,4,0,4,0
37667,87667,5,64,37,45,46,39
37668,87668,3,44,486,16,508,12
37669,87669,3,148,402,98,397,64
37670,87670,2,142,396,46,400,33
37671,87671,3,88,458,51,463,33
37672,87672,1,3,617,0,617,0
37673,87673,3,62,472,22,477,18
37674,87674,1,130,416,12,412,11
37675,87675,3,172,358,101,360,75
37676,87676,2,95,417,27,418,17
37677,87677,2,143,378,56,374,41
37678,87678,2,36,364,4,359,1
37679,87679,3,85,459,53,458,34
37680,87680,4,104,430,75,441,51
37681,87681,2,156,379,62,373,47
37682,87682,3,91,424,71,449,47
37683,87683,3,134,387,93,388,66
37684,87684,4,10,513,5,513,5
37685,87685,2,6,6,0,6,0
37686,87686,4,154,403,121,390,95
37687,87687,4,26,504,12,502,8
37688,87688,5,99,74,68,55,62
37689,87689,3,137,393,105,387,66
37690,87690,3,40,497,12,501,10
37691,87691,4,162,392,136,398,105
37692,87692,1,16,546,0,546,0
37693,87693,2,133,384,42,383,30
37694,87694,2,134,411,54,402,36
37695,87695,2,81,483,13,470,11
37696,87696,1,146,372,20,370,16
37697,87697,2,176,368,83,360,57
37698,87698,1,96,433,10,435,8
37699,87699,4,173,383,147,382,111
37700,87700,3,151,375,115,381,73
37701,87701,4,47,472,31,522,26
37702,87702,3,109,440,56,434,46
37703,87703,5,12,12,2,202,1
37704,87704,5,188,75,167,89,136
37705,87705,3,97,429,58,429,35
37706,87706,2,26,417,3,416,1
37707,87707,4,132,417,97,416,68
37708,87708,1,40,542,1,542,1
37709,87709,3,9,603,0,603,0
37710,87710,2,136,396,37,394,31
37711,87711,2,58,464,5,464,5
37712,87712,4,138,435,117,424,94
37713,87713,1,10,10,0,10,0
37714,87714,4,129,402,126,413,80
37715,87715,5,159,62,119,76,102
37716,87716,2,35,457,2,457,2
37717,87717,3,174,376,118,368,90
37718,87718,1,96,431,1,431,1
37719,87719,5,15,342,14,348,11
37720,87720,2,144,389,46,384,33
37721,87721,1,9,602,0,602,0
37722,87722,4,104,461,86,445,58
37723,87723,3,110,409,73,412,50
37724,87724,3,165,362,126,376,87
37725,87725,2,181,360,77,348,46
37726,87726,3,153,387,106,370,67
37727,87727,2,139,398,43,397,30
37728,87728,3,51,491,14,488,12
37729,87729,1,145,362,9,362,9
37730,87730,2,3,3,0,3,0
37731,87731,5,46,35,33,32,25
37732,87732,5,81,45,62,47,47
37733,87733,2,7,7,0,7,0
37734,87734,2,130,400,49,391,29
37735,87735,1,157,356,10,355,8
37736,87736,2,111,427,21,422,14
37737,87737,2,144,375,47,372,36
37738,87738,2,14,327,0,327,0
37739,87739,2,18,156,3,156,3
37740,87740,3,71,483,28,481,21
37741,87741,4,6,6,0,6,0
37742,87742,3,130,398,89,407,63
37743,87743,5,117,57,93,62,82
37744,87744,1,70,490,4,487,3
37745,87745,2,142,398,58,396,37
37746,87746,5,126,61,86,71,72
37747,87747,1,134,383,13,379,12
37748,87748,1,6,6,0,6,0
37749,87749,4,198,376,157,381,118
37750,87750,4,14,598,10,528,6
37751,87751,3,166,387,97,386,77
37752,87752,2,85,486,21,478,10
37753,87753,4,67,508,46,482,32
37754,87754,1,63,490,1,490,1
37755,87755,5,97,51,64,50,62
37756,87756,3,35,500,10,501,7
37757,87757,2,169,343,92,353,56
37758,87758,3,155,386,89,385,65
37759,87759,2,116,406,41,408,31
37760,87760,2,152,373,65,370,43
37761,87761,4,26,591,10,591,10
37762,87762,1,139,370,14,370,12
37763,87763,3,110,427,61,434,42
37764,87764,5,162,70,127,76,108
37765,87765,5,6,6,0,6,0
37766,87766,2,132,383,55,370,35
37767,87767,2,24,258,2,248,1
37768,87768,2,83,438,28,448,18
37769,87769,1,9,607,0,607,0
37770,87770,1,23,576,0,576,0
37771,87771,4,137,386,111,400,87
37772,87772,1,171,340,20,336,18
37773,87773,3,87,471,41,468,32
37774,87774,2,10,10,0,10,0
37775,87775,5,121,90,109,63,88
37776,87776,5,4,4,0,4,0
37777,87777,2,156,369,68,362,50
37778,87778,2,183,346,97,349,66
37779,87779,5,4,4,0,4,0
37780,87780,4,62,455,28,474,24
37781,87781,5,105,52,75,57,56
37782,87782,5,161,72,128,79,109
37783,87783,5,120,61,101,75,64
37784,87784,4,84,421,61,443,48
37785,87785,1,139,372,14,369,14
37786,87786,2,137,387,38,381,27
37787,87787,4,63,491,39,475,34
37788,87788,2,107,413,29,404,19
37789,87789,3,44,481,12,511,7
37790,87790,4,141,375,129,405,89
37791,87791,2,37,424,0,424,0
37792,87792,3,103,455,78,442,55
37793,87793,4,89,441,65,454,52
37794,87794,4,163,387,134,400,104
37795,87795,2,51,456,7,442,6
37796,87796,2,137,382,47,378,34
37797,87797,4,88,438,60,442,48
37798,87798,1,150,358,13,358,11
37799,87799,3,144,403,91,400,55
37800,87800,4,25,488,18,565,17
37801,87801,3,47,479,16,488,13
37802,87802,1,3,617,0,617,0
37803,87803,3,98,448,41,452,29
37804,87804,3,144,395,89,397,61
37805,87805,5,8,440,5,440,5
37806,87806,5,37,238,31,225,26
37807,87807,5,63,62,45,45,37
37808,87808,1,120,413,9,417,8
37809,87809,3,160,390,103,386,82
37810,87810,3,46,557,10,501,9
37811,87811,5,7,7,0,7,0
37812,87812,4,48,475,32,511,21
37813,87813,2,163,358,72,354,49
37814,87814,3,118,435,73,422,50
37815,87815,5,131,55,97,68,79
37816,87816,2,44,502,4,502,4
37817,87817,4,123,408,100,422,82
37818,87818,5,96,44,78,50,68
37819,87819,3,162,382,104,373,67
37820,87820,3,178,358,134,359,88
37821,87821,3,162,375,118,371,76
37822,87822,3,21,524,1,524,1
37823,87823,3,5,5,0,5,0
37824,87824,2,124,400,38,398,26
37825,87825,2,43,431,7,423,6
37826,87826,2,189,349,79,351,62
37827,87827,2,117,401,37,407,25
37828,87828,5,39,113,33,97,22
37829,87829,4,135,421,105,406,86
37830,87830,1,6,6,0,6,0
37831,87831,5,23,221,9,221,6
37832,87832,4,128,432,118,413,78
37833,87833,3,129,402,83,409,61
37834,87834,4,133,411,120,416,81
37835,87835,1,180,343,21,344,19
37836,87836,3,26,576,5,569,2
37837,87837,5,27,198,23,183,17
37838,87838,5,182,74,152,91,129
37839,87839,1,6,611,0,611,0
37840,87840,4,4,4,0,4,0
37841,87841,4,24,554,5,551,2
37842,87842,4,70,501,45,481,38
37843,87843,5,175,74,141,76,123
37844,87844,4,4,4,0,4,0
37845,87845,4,111,415,78,420,62
37846,87846,3,38,512,21,506,15
37847,87847,4,169,388,154,390,110
37848,87848,3,120,409,86,422,59
37849,87849,2,3,3,0,3,0
37850,87850,2,23,389,0,389,0
37851,87851,1,175,347,18,345,15
37852,87852,3,145,382,96,388,66
37853,87853,2,102,418,39,424,30
37854,87854,5,113,57,88,66,70
37855,87855,4,156,421,149,397,104
37856,87856,2,25,451,0,451,0
37857,87857,5,126,60,108,70,104
37858,87858,1,91,449,1,449,1
37859,87859,5,78,33,59,50,43
37860,87860,1,26,574,0,574,0
37861,87861,1,142,372,19,376,17
37862,87862,5,6,6,0,6,0
37863,87863,2,23,222,0,222,0
37864,87864,5,34,94,12,106,9
37865,87865,1,8,608,0,608,0
37866,87866,1,9,600,0,600,0
37867,87867,4,40,488,23,501,21
37868,87868,3,95,456,61,440,35
37869,87869,2,74,472,10,469,8
37870,87870,5,22,248,15,240,12
37871,87871,1,138,386,11,387,10
37872,87872,2,183,358,65,358,52
37873,87873,1,85,463,1,463,1
37874,87874,1,40,536,0,536,0
37875,87875,4,89,438,60,448,50
37876,87876,4,87,443,72,458,56
37877,87877,3,142,410,88,419,67
37878,87878,5,156,57,126,82,99
37879,87879,4,118,441,97,430,76
37880,87880,5,85,46,60,51,58
37881,87881,4,9,9,0,9,0
37882,87882,5,70,46,57,44,41
37883,87883,4,19,587,17,587,17
37884,87884,4,37,473,22,506,17
37885,87885,5,4,4,0,4,0
37886,87886,3,144,377,92,381,61
37887,87887,3,151,383,94,380,75
37888,87888,3,6,6,0,6,0
37889,87889,1,37,555,0,555,0
37890,87890,4,62,488,33,475,27
37891,87891,5,121,59,110,67,88
37892,87892,3,122,408,85,405,67
37893,87893,5,135,61,120,72,95
37894,87894,1,63,503,2,503,2
37895,87895,3,35,504,18,523,12
37896,87896,1,5,614,0,614,0
37897,87897,4,91,431,60,440,50
37898,87898,5,110,60,94,67,74
37899,87899,1,99,428,2,428,2
37900,87900,2,171,364,69,360,46
37901,87901,5,131,78,120,74,92
37902,87902,3,189,367,143,365,101
37903,87903,2,79,476,14,472,11
37904,87904,3,142,408,84,395,62
37905,87905,2,59,486,8,480,7
37906,87906,2,105,425,29,419,17
37907,87907,4,133,414,117,412,97
37908,87908,2,125,416,41,406,28
37909,87909,5,116,60,95,68,75
37910,87910,4,108,425,75,426,51
37911,87911,3,142,406,82,404,61
37912,87912,1,67,491,2,476,1
37913,87913,1,178,352,22,345,19
37914,87914,3,14,593,0,593,0
37915,87915,1,66,483,4,484,1
37916,87916,5,144,51,115,74,92
37917,87917,1,112,404,4,404,4
37918,87918,3,67,465,31,481,23
