,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
49463,99463,4,183,383,167,399,106
49464,99464,5,46,49,42,41,29
49465,99465,4,67,469,63,483,38
49466,99466,1,39,536,2,541,0
49467,99467,2,37,536,3,540,3
49468,99468,1,84,456,14,458,8
49469,99469,4,36,537,14,533,12
49470,99470,1,139,363,15,366,10
49471,99471,3,162,389,104,391,73
49472,99472,3,4,574,4,4,0
49473,99473,4,118,434,119,464,82
49474,99474,4,10,574,0,10,0
49475,99475,5,128,83,123,76,91
49476,99476,1,160,338,23,340,20
49477,99477,2,157,358,56,357,41
49478,99478,5,145,74,119,73,85
49479,99479,2,93,455,35,447,13
49480,99480,2,144,381,64,384,40
49481,99481,3,146,392,114,381,77
49482,99482,1,75,485,3,471,1
49483,99483,1,89,449,9,451,5
49484,99484,1,24,568,1,549,0
49485,99485,1,149,356,14,355,12
49486,99486,5,12,297,0,12,0
49487,99487,2,153,363,71,370,42
49488,99488,2,23,304,4,303,2
49489,99489,4,105,435,99,464,62
49490,99490,4,143,415,138,441,101
49491,99491,5,11,308,12,305,2
49492,99492,4,152,391,134,407,91
49493,99493,4,156,396,155,421,111
49494,99494,2,151,375,51,375,31
49495,99495,1,11,574,3,599,0
49496,99496,2,73,460,20,462,12
49497,99497,2,3,85,0,3,0
49498,99498,5,12,263,14,259,1
49499,99499,3,127,401,85,404,54
49500,99500,1,5,574,7,615,0
49501,99501,5,165,87,151,76,107
49502,99502,3,130,404,108,415,63
49503,99503,5,149,84,136,68,99
49504,99504,5,112,79,103,70,65
49505,99505,3,128,415,73,415,46
49506,99506,4,150,385,152,408,94
49507,99507,4,29,563,10,547,8
49508,99508,3,43,532,22,512,10
49509,99509,2,4,88,0,4,0
49510,99510,2,153,361,74,361,41
49511,99511,2,95,437,21,434,10
49512,99512,1,7,574,3,603,0
49513,99513,1,130,386,15,382,5
49514,99514,4,120,414,122,446,76
49515,99515,3,3,574,10,617,0
49516,99516,3,64,496,47,472,22
49517,99517,2,146,375,54,373,32
49518,99518,4,37,545,18,540,17
49519,99519,4,92,467,95,488,46
49520,99520,1,131,391,13,391,10
49521,99521,3,15,574,5,551,4
49522,99522,2,136,377,44,381,29
49523,99523,1,170,362,17,361,15
49524,99524,3,122,415,81,426,49
49525,99525,4,59,491,38,496,21
49526,99526,1,139,376,15,383,12
49527,99527,5,37,99,27,120,12
49528,99528,2,86,442,28,435,14
