,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
39703,89703,5,51,36,42,60,23
39704,89704,2,126,400,49,397,22
39705,89705,1,142,365,12,361,10
39706,89706,3,24,581,7,506,4
39707,89707,4,149,394,133,404,96
39708,89708,4,126,408,133,402,91
39709,89709,2,168,366,79,361,51
39710,89710,5,93,69,117,81,62
39711,89711,4,10,593,10,10,0
39712,89712,3,4,617,0,4,0
39713,89713,4,4,615,0,4,0
39714,89714,3,22,577,23,518,7
39715,89715,1,135,376,19,369,14
39716,89716,3,44,525,25,484,12
39717,89717,4,112,433,100,430,62
39718,89718,5,71,46,54,62,34
39719,89719,4,175,392,147,393,100
39720,89720,5,181,90,176,97,138
39721,89721,2,102,422,23,419,13
39722,89722,2,40,499,15,489,5
39723,89723,5,15,263,6,15,0
39724,89724,1,103,430,11,428,6
39725,89725,2,145,374,70,372,44
39726,89726,2,12,121,0,121,0
39727,89727,3,185,382,126,377,87
39728,89728,2,130,391,61,394,37
39729,89729,4,163,403,142,395,93
39730,89730,2,122,406,20,401,15
39731,89731,4,110,426,89,424,52
39732,89732,3,35,560,11,504,8
39733,89733,4,128,419,106,410,79
39734,89734,4,76,475,55,471,40
39735,89735,4,111,422,101,422,72
39736,89736,5,108,67,91,71,60
39737,89737,3,134,407,104,405,57
39738,89738,5,103,67,79,79,56
39739,89739,2,44,390,7,388,3
39740,89740,1,111,427,7,424,5
39741,89741,4,164,385,164,388,96
39742,89742,3,172,368,120,373,84
39743,89743,4,52,522,44,472,34
39744,89744,2,119,413,42,410,24
39745,89745,3,111,436,80,422,39
39746,89746,5,127,83,117,87,79
39747,89747,2,27,292,4,292,3
39748,89748,4,43,524,60,478,27
39749,89749,4,108,462,66,436,38
39750,89750,2,66,465,9,462,8
39751,89751,3,10,607,0,10,0
39752,89752,4,12,591,16,12,0
39753,89753,4,145,407,139,394,85
39754,89754,1,68,500,2,500,2
39755,89755,3,112,411,79,408,50
39756,89756,4,163,388,168,384,107
39757,89757,3,39,529,22,494,11
39758,89758,1,126,413,14,411,10
39759,89759,1,44,540,3,523,2
39760,89760,5,6,458,0,6,0
39761,89761,2,147,361,54,362,29
39762,89762,5,67,45,56,62,38
39763,89763,3,14,596,5,596,5
39764,89764,4,6,601,7,6,0
39765,89765,3,170,369,119,365,78
39766,89766,5,31,200,27,218,14
39767,89767,3,176,362,141,365,89
39768,89768,2,33,413,2,403,1
39769,89769,3,124,397,93,395,49
39770,89770,4,26,579,10,579,10
39771,89771,5,59,46,44,52,33
39772,89772,1,4,612,0,4,0
39773,89773,3,145,380,114,384,63
39774,89774,4,4,615,0,4,0
39775,89775,1,166,357,22,355,18
39776,89776,5,90,62,83,66,53
39777,89777,1,128,395,15,397,11
39778,89778,4,8,604,0,8,0
39779,89779,4,117,411,102,418,61
39780,89780,4,150,408,119,405,95
39781,89781,3,123,404,81,407,51
39782,89782,1,137,377,15,378,12
39783,89783,4,120,409,114,405,81
39784,89784,2,22,293,0,293,0
39785,89785,5,43,96,30,109,20
39786,89786,2,82,477,22,466,9
39787,89787,1,134,388,13,386,8
39788,89788,2,143,400,65,397,34
39789,89789,3,23,581,5,581,5
39790,89790,1,22,576,1,560,0
39791,89791,2,67,492,10,485,4
39792,89792,5,20,222,6,20,0
39793,89793,3,198,382,143,381,85
39794,89794,3,31,561,15,511,11
39795,89795,4,12,597,2,597,2
39796,89796,3,145,406,87,400,55
39797,89797,4,147,408,131,405,86
39798,89798,1,185,349,22,349,19
39799,89799,3,153,400,93,399,74
39800,89800,4,97,425,80,406,57
39801,89801,2,115,392,47,392,27
39802,89802,5,126,73,113,79,77
39803,89803,5,4,490,3,4,0
39804,89804,1,185,331,25,330,19
39805,89805,3,81,497,46,474,23
39806,89806,5,55,66,58,77,30
39807,89807,2,160,393,59,389,39
39808,89808,4,3,613,2,3,0
39809,89809,3,75,468,55,447,31
39810,89810,5,131,87,134,82,90
39811,89811,2,146,363,79,364,51
39812,89812,4,27,548,31,486,17
39813,89813,5,66,57,40,70,25
39814,89814,3,186,370,135,373,100
39815,89815,3,126,408,95,404,51
39816,89816,3,136,392,122,400,76
39817,89817,4,11,595,2,11,0
39818,89818,5,38,133,35,152,14
39819,89819,4,79,446,75,428,36
39820,89820,2,137,386,58,386,41
39821,89821,1,22,579,0,579,0
39822,89822,3,170,377,137,374,78
39823,89823,4,101,444,67,433,44
39824,89824,3,69,504,47,461,19
39825,89825,4,109,434,93,412,55
39826,89826,1,4,612,0,4,0
39827,89827,1,89,453,5,453,5
39828,89828,1,169,349,15,346,13
39829,89829,4,151,394,138,411,89
39830,89830,1,39,542,0,542,0
39831,89831,4,137,397,121,395,82
39832,89832,5,138,80,127,74,89
39833,89833,3,42,512,30,489,12
39834,89834,3,156,392,111,393,64
39835,89835,3,130,390,96,386,61
39836,89836,5,125,75,118,81,78
39837,89837,3,95,432,74,425,43
39838,89838,2,141,402,61,405,53
39839,89839,1,83,457,13,450,9
39840,89840,3,152,383,130,368,78
39841,89841,1,153,355,22,353,18
39842,89842,5,150,87,144,84,111
39843,89843,5,138,80,130,85,90
39844,89844,3,133,409,78,397,49
39845,89845,5,58,40,44,59,32
39846,89846,2,161,381,67,374,41
39847,89847,1,81,474,4,473,2
39848,89848,5,126,72,130,76,82
39849,89849,2,185,354,85,347,60
39850,89850,1,63,495,0,495,0
39851,89851,1,153,371,13,368,11
39852,89852,1,12,592,0,592,0
39853,89853,4,16,591,11,490,4
39854,89854,1,44,550,3,538,2
39855,89855,3,155,379,122,381,79
39856,89856,5,65,79,58,95,39
39857,89857,5,131,82,121,90,83
39858,89858,1,146,360,20,361,17
39859,89859,2,27,312,3,312,3
39860,89860,3,74,467,42,452,27
39861,89861,5,114,65,105,76,77
39862,89862,4,200,369,172,378,127
39863,89863,3,110,437,66,426,49
39864,89864,5,89,61,92,68,56
39865,89865,4,78,459,60,436,31
39866,89866,1,13,592,0,592,0
39867,89867,4,148,400,145,397,90
39868,89868,3,50,533,28,493,15
39869,89869,3,73,472,35,458,16
39870,89870,3,145,384,119,389,67
39871,89871,3,117,401,102,408,61
39872,89872,2,158,351,83,360,54
